Task,Best Model,Mean Accuracy,Std Accuracy,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity,Mean PPV,Std PPV,Mean NPV,Std NPV,Mean AUC,Std AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.7037760416666666,0.01747179084810754,0.5003968253968253,0.04246345051334511,0.8031007751937983,0.03785566968429122,0.55741979633937,0.03813542299358824,0.767268250294263,0.010623862196146147,0.7879129752676265,0.007772786654040521,256.0,84.0
Sustained Phonation E,VJEPA2-SSv2,0.7162760416666667,0.006918344376354937,0.5071428571428572,0.02267407531639589,0.8184108527131784,0.013194696304500502,0.5773204817370915,0.013698997334949904,0.7728278751720979,0.006602662293169274,0.7505098744924327,0.0052081534041244016,256.0,84.0
Sustained Phonation O,VideoPrism,0.7434895833333334,0.008903681697645558,0.6305555555555554,0.01964461935005631,0.7986434108527132,0.015381012099914208,0.6051054905537484,0.015579393101834243,0.8157953575258536,0.006950463337510145,0.8036291066814323,0.00752187648461596,256.0,84.0
Facial Expression Disgust,VJEPA2,0.771976401179941,0.008769515619172235,0.5557755775577559,0.02809260861198162,0.8637254901960785,0.010849628038353064,0.6340455772530977,0.01757279275963367,0.8209565030926291,0.008709460990786164,0.7936045705410876,0.003943123960400937,339.0,101.0
Facial Expression Smile,VideoPrism,0.7460410557184749,0.006284905246271315,0.5202614379084968,0.040621630776744216,0.8423988842398885,0.0187869927276333,0.5856955940447812,0.01511934364629277,0.8047875624487126,0.010514758822241626,0.7990182404900594,0.0024736690512285418,341.0,102.0
Facial Expression Surprise,VJEPA2,0.7537856440511308,0.00691729442127508,0.5206666666666667,0.03150624824000661,0.8513249651324966,0.013264703511525509,0.594773288055647,0.014791117000130518,0.8094954790634198,0.00849381179092151,0.7912217573221757,0.004878423256286691,339.0,100.0
Extend Arm,VJEPA2-SSv2,0.7768627450980392,0.008380825572862299,0.55359477124183,0.06172328334713453,0.8725490196078431,0.02151895793861582,0.6519356079564425,0.01858758396044303,0.8208775905175598,0.017392852853658075,0.8240978744438953,0.006387233263097555,340.0,102.0
Eye Gaze,VideoPrism,0.7415364583333334,0.016092263455226803,0.6154761904761905,0.07432220378702732,0.8031007751937983,0.04216711761017731,0.6071950157356842,0.030308899633337456,0.8119125869737441,0.02219444825323973,0.7968784606866005,0.02058111515758402,256.0,84.0
Finger Tapping,TimeSformer,0.7395711500974659,0.007676178757399706,0.37540453074433666,0.030631064866225046,0.8965132496513253,0.015380564009063485,0.6112662888236714,0.02479541935084246,0.7691966445734895,0.006889596561971356,0.7631013798052835,0.0074192406706871435,342.0,103.0
Flip Palm,VJEPA2-SSv2,0.7845010615711254,0.007162045304280311,0.6790262172284646,0.014359767425229092,0.8262222222222223,0.012036555644170943,0.6075812168071898,0.014283013676360125,0.8668402131049852,0.004401251626795118,0.8577711194340407,0.0021486062890872554,314.0,89.0
Head Pose,VideoPrism,0.7166013071895426,0.015411155084944271,0.5787148594377511,0.06032261465542498,0.783139534883721,0.04470086906864827,0.5663192725093874,0.02836231080406835,0.7948263649116178,0.015019442911529431,0.7863383767628653,0.011405698061407999,255.0,83.0
Nose Touch,VJEPA2-SSv2,0.7914802981895634,0.00786771155661376,0.5606741573033707,0.03973605720383335,0.8831845238095238,0.009311621132686597,0.6560571278155386,0.01318334641108648,0.8352033741013606,0.011399861799188265,0.8308754681647941,0.0065484477305153025,313.0,89.0
Open Fist,VideoPrism,0.7687898089171976,0.009260439225676693,0.5666666666666667,0.054040648182861764,0.8499999999999999,0.014146489059457814,0.6026551322983416,0.013712150301962697,0.8304667826354364,0.015451844175459284,0.8394560185185185,0.0029258387613097553,314.0,90.0
Pangram Utterance,VideoPrism,0.7428571428571427,0.015303635735131112,0.5305555555555556,0.038840966641616584,0.8376033057851239,0.031058633980949362,0.5965064254155592,0.03783424843637147,0.8001684884860153,0.009824767108803732,0.8063080297928783,0.011887529780065681,350.0,108.0
Resting Face,VJEPA2-SSv2,0.6795454545454545,0.024860683347758716,0.8251572327044026,0.04173162668851101,0.4590476190476191,0.05952348111567859,0.698451087091428,0.019866101868815267,0.6368752105231695,0.04683774855753417,0.760898472596586,0.016875826386666976,88.0,53.0
Reverse Count,VideoPrism,0.7277124183006538,0.009861001292648336,0.5967871485943775,0.05079526165901704,0.7908914728682171,0.016121020296508328,0.5791467958126362,0.011778687958996665,0.8031993934139093,0.017937513251218673,0.8011627906976743,0.002576513350457245,255.0,83.0
Tongue Twister,VJEPA2-SSv2,0.7612303290414879,0.014411089651370055,0.6175675675675675,0.021919545775180935,0.8280922431865825,0.022241173452502747,0.6270098403104463,0.02777150180781617,0.8231326276700937,0.007839828995449442,0.7784577029860047,0.009721408984276418,233.0,74.0
