Task,Best Model,Mean Accuracy,Std Accuracy,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity,Mean PPV,Std PPV,Mean NPV,Std NPV,Mean AUC,Std AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.722,0.021877401346027645,0.5750000000000001,0.20336607047560726,0.7911764705882353,0.07441855912666519,0.5080195110856273,0.17370804628788603,0.8056959570964791,0.04755146576941039,0.7712230392156862,0.07582655944056202,250.0,80.0
Sustained Phonation E,VideoPrism,0.719489247311828,0.07625482249353568,0.6185654008438818,0.08017719943192206,0.7666666666666667,0.14557758441884358,0.5692052444257957,0.04925964678885162,0.7845578176800407,0.14868387239120393,0.7960352532893914,0.00823674624580887,248.0,79.0
Sustained Phonation O,VideoPrism,0.7411924119241192,0.016856641998064102,0.5970833333333335,0.12041967442451315,0.8106425702811243,0.04100059855756022,0.5835542605363392,0.11179807143718684,0.809371417488314,0.029193927979785893,0.7848381024096387,0.05287841260174894,246.0,80.0
Facial Expression Disgust,VJEPA2,0.7022357723577236,0.11703815854600783,0.6,0.2105263157894737,0.7439198855507869,0.225202638925807,0.493531320978098,0.15669602157502943,0.7722168735041058,0.21385289793256498,0.7980543633762518,0.005262520122860631,328.0,95.0
Facial Expression Smile,VJEPA2,0.728012048192771,0.09026843988020429,0.33435374149659863,0.3278877862318193,0.8928774928774929,0.184285753977123,0.325124139329323,0.315665654471846,0.7473129475321784,0.15619791398107763,0.6806318681318682,0.14658603127200046,332.0,98.0
Facial Expression Surprise,VJEPA2-SSv2,0.7118233618233618,0.11482208518529045,0.4703703703703704,0.326513352264122,0.819135802469136,0.23771250386616435,0.4076563515292293,0.28205932558869384,0.7370288518724694,0.2109852499015045,0.679808241883859,0.12599857974663764,234.0,72.0
Extend Arm,VJEPA2,0.7593152064451159,0.009398713811957714,0.6677083333333332,0.03074909859127979,0.7967375886524821,0.018722181422528406,0.5736441933809858,0.016232780069650964,0.8546572847491689,0.00981342109760878,0.8335919030732862,0.005724081388579547,331.0,96.0
Eye Gaze,VideoPrism,0.7570666666666667,0.012470470868341788,0.6437499999999999,0.03976628922367147,0.8103921568627451,0.028554790298647287,0.616874037530873,0.02616846615784357,0.8290198602519553,0.012356851830281798,0.8025220588235296,0.0048391549986852465,250.0,80.0
Finger Tapping,VJEPA2-SSv2,0.756038647342995,0.05517946999873802,0.38125,0.31917968840667055,0.9237762237762238,0.06496349181814597,0.41531448487008465,0.3454689919787001,0.782165436659889,0.07713650859485993,0.7096900495337994,0.1565269403482778,207.0,64.0
Flip Palm,VJEPA2,0.7366120218579234,0.16213216971062466,0.7341269841269842,0.2257759864305495,0.737556561085973,0.2665700184481962,0.5400813148835667,0.19306530774916128,0.7992533687148021,0.27537725235416416,0.8817226890756302,0.006136030228485116,305.0,84.0
Head Pose,VideoPrism,0.7469086021505377,0.011190732170608269,0.6274261603375528,0.04012304108636986,0.8027613412228798,0.01676028426975993,0.5981538861237817,0.01676042031332776,0.8220862213063078,0.01432544881177873,0.7994020422939605,0.005748152309421228,248.0,79.0
Nose Touch,VJEPA2-SSv2,0.8004761904761905,0.012651459444241151,0.5581699346405229,0.11183921378409117,0.878197064989518,0.029980274164189604,0.5771747828483554,0.11216101131730452,0.8623136927589042,0.021691114364080614,0.8231060138940273,0.010349196137345742,210.0,51.0
Open Fist,VJEPA2-SSv2,0.6925093632958801,0.1819452053301273,0.6707762557077624,0.25565813113500535,0.7006872852233675,0.3173116361115014,0.5220222213347963,0.2186158390473876,0.7464799138491875,0.3017366830885721,0.84553264604811,0.004036295024129362,267.0,73.0
Pangram Utterance,VJEPA2,0.73841642228739,0.020997756651896266,0.503921568627451,0.20404050726034081,0.8384937238493723,0.06881848536291267,0.4963427481501133,0.19999776858989798,0.8042892279947331,0.04260697372973827,0.7539037930374382,0.10554335038879024,341.0,102.0
Resting Face,VJEPA2,0.6733333333333336,0.030378958507388566,0.7934640522875819,0.042064645378749495,0.4931372549019608,0.07902706508198001,0.7026968022371581,0.028722016383825724,0.6148704672638706,0.051908732456059106,0.746232218377547,0.016944369627840312,85.0,51.0
Reverse Count,VideoPrism,0.7264784946236561,0.01198424361567674,0.5725738396624471,0.0344955562871306,0.7984220907297831,0.02224516320295335,0.5712290851960716,0.02069554648860756,0.8000857676847012,0.010901955095627814,0.7789216787756224,0.00819890325942679,248.0,79.0
Tongue Twister,VJEPA2,0.7125560538116592,0.08207498931115365,0.6431372549019607,0.2019670203911941,0.743010752688172,0.16925036945911298,0.5077316103334907,0.15124286786151606,0.8062687532639995,0.15867244859888108,0.8037934851359896,0.00421251641207414,223.0,68.0
